Music;Quadrant;Id;Semantic_Gazeteers_AvgValence;Semantic_Gazeteers_AvgArousal;Semantic_DAL_ANEW_AvgValence;Semantic_DAL_ANEW_AvgArousal;Semantic_DAL_ANEW_AvgDominance;Semantic_Synesktech_Valence;Semantic_Synesktech_HappinessWeight;Semantic_Synesktech_SadnessWeight;Semantic_Synesktech_AngerWeight;Semantic_Synesktech_FearWeight;Semantic_Synesktech_DisgustWeight;Semantic_Synesktech_SurpriseWeight;Semantic_GI_negativ;Semantic_GI_pstv;Semantic_GI_strong;Semantic_GI_weak;Semantic_GI_submit;Semantic_GI_pain;Semantic_GI_arousal;Semantic_GI_vice;Semantic_GI_academ;Semantic_GI_doctrin;Semantic_GI_econ@;Semantic_GI_exch;Semantic_GI_exprsv;Semantic_GI_legal;Semantic_GI_milit;Semantic_GI_polit@;Semantic_GI_polit;Semantic_GI_relig;Semantic_GI_coll;Semantic_GI_work;Semantic_GI_ritual;Semantic_GI_male;Semantic_GI_female;Semantic_GI_hu;Semantic_GI_social;Semantic_GI_region;Semantic_GI_route;Semantic_GI_land;Semantic_GI_sky;Semantic_GI_object;Semantic_GI_food;Semantic_GI_comnobj;Semantic_GI_natobj;Semantic_GI_bodypt;Semantic_GI_comform;Semantic_GI_say;Semantic_GI_need;Semantic_GI_goal;Semantic_GI_means;Semantic_GI_persist;Semantic_GI_fail;Semantic_GI_natrpro;Semantic_GI_begin;Semantic_GI_vary;Semantic_GI_increas;Semantic_GI_finish;Semantic_GI_stay;Semantic_GI_rise;Semantic_GI_exert;Semantic_GI_fetch;Semantic_GI_fall;Semantic_GI_causal;Semantic_GI_ought;Semantic_GI_perceiv;Semantic_GI_compare;Semantic_GI_solve;Semantic_GI_abs@;Semantic_GI_quality;Semantic_GI_quan;Semantic_GI_numb;Semantic_GI_freq;Semantic_GI_time@;Semantic_GI_space;Semantic_GI_pos;Semantic_GI_dim;Semantic_GI_rel;Semantic_GI_self;Semantic_GI_our;Semantic_GI_you;Semantic_GI_name;Semantic_GI_yes;Semantic_GI_negate;Semantic_GI_intrj;Semantic_GI_sv;Semantic_GI_indadj;Semantic_GI_powgain;Semantic_GI_powloss;Semantic_GI_powcon;Semantic_GI_powcoop;Semantic_GI_powaupt;Semantic_GI_powtot;Semantic_GI_rcrelig;Semantic_GI_rcgain;Semantic_GI_rcends;Semantic_GI_rctot;Semantic_GI_rspgain;Semantic_GI_rsploss;Semantic_GI_rspoth;Semantic_GI_rsptot;Semantic_GI_affpt;Semantic_GI_affoth;Semantic_GI_wlbgain;Semantic_GI_wlbloss;Semantic_GI_wlbphys;Semantic_GI_wlbpsyc;Semantic_GI_wlbpt;Semantic_GI_enlends;Semantic_GI_enltot;Semantic_GI_skltot;Semantic_GI_trngain;Semantic_GI_trnloss;Semantic_GI_tranlw;Semantic_GI_meanslw;Semantic_GI_endslw;Semantic_GI_arenalw;Semantic_GI_ptlw;Semantic_GI_negaff;Semantic_GI_posaff;Semantic_GI_if;Stylistic_CapitalLetters_cfcl
mt0000171421;Q3;mt0000171421;3.0;2.64;2.221960810810811;1.9664932432432425;1.4513513513513518;-1;1.0;1.0;0.5;0.5;0.5;0.0615384615384615;8;111;30;16;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;3;1;5;0;1;0;5;0;0;3;0;3;0;0;1;0;0;2;9;0;0;0;0;7;2;8;3;0;6;6;3;3;0;3;2;1;2;0;3;3;1;39;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;53;0;0;0;0;0;0;21;0;0;3;1;3;0;0;0;0;0;0;28
mt0000171852;Q3;mt0000171852;2.84;2.5200000000000005;1.8644375000000004;1.6746482142857144;1.3357142857142854;1;1.0;0.0666666666666666;0.1;0.1818181818181818;0.0;0.0;3;42;19;6;4;0;5;0;0;0;0;0;1;4;0;0;1;2;0;0;1;0;1;1;0;0;2;0;0;1;0;0;0;2;20;1;0;2;8;0;2;2;0;0;0;0;0;0;0;0;0;1;1;1;3;13;0;5;16;1;5;10;10;0;0;2;18;0;38;1;0;5;13;16;0;4;0;0;0;0;4;2;0;1;7;2;0;4;6;0;7;0;0;0;0;0;0;51;0;0;1;0;0;1;0;3;0;0;6;11
mt0000175597;Q3;mt0000175597;2.362142857142857;2.1214285714285714;1.903962777777778;1.6660416666666658;1.7433333333333327;-1;1.0;1.0;0.7;1.0;0.7;0.0615384615384615;31;35;48;11;2;7;5;4;1;2;7;3;0;2;2;5;6;0;1;24;4;10;20;7;3;0;1;2;1;17;0;0;2;4;17;1;4;5;9;1;2;13;1;2;0;3;2;2;6;2;0;9;3;10;0;5;3;16;19;2;1;9;27;3;8;2;11;0;13;1;1;8;7;24;2;2;1;14;1;2;27;0;0;0;0;0;1;4;5;2;9;1;3;4;3;0;2;24;3;5;4;11;0;3;0;1;4;7;3;32
mt0000185453;Q3;mt0000185453;2.9775;2.5675000000000003;1.9457611111111104;1.6750648148148148;1.4481481481481482;-1;1.0;1.0;0.5;0.5;0.5;0.4;11;20;19;2;0;2;1;5;0;0;0;0;0;1;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;0;1;1;0;3;2;0;0;3;1;1;0;0;0;0;2;2;0;0;1;0;3;0;1;0;6;0;0;7;1;5;14;4;0;0;2;9;0;10;0;0;5;8;7;0;0;0;1;0;0;8;0;0;0;0;0;0;1;1;0;6;0;2;0;2;0;0;7;1;0;2;1;0;1;1;0;2;0;2;15
mt0000185601;Q1;mt0000185601;2.255;2.3025;1.884382304526748;1.6458053497942382;1.5876543209876532;-1;1.0;1.0;0.5;0.5;0.5;0.2;53;61;47;12;2;0;6;4;0;2;4;3;5;19;1;2;4;1;0;5;7;2;3;12;0;0;0;0;0;17;4;2;3;0;34;2;11;1;11;3;3;2;0;2;0;0;1;0;22;5;0;26;5;6;1;17;5;9;20;4;0;28;15;0;0;6;13;7;30;0;22;3;42;29;0;1;1;8;10;0;25;0;3;1;26;3;0;21;24;4;6;1;2;0;3;4;10;48;1;1;4;31;0;7;0;2;1;7;3;155
mt0000186467;Q2;mt0000186467;2.0460000000000003;2.612;1.7720405940594066;1.6285069306930695;1.356435643564357;-1;1.0;0.32;1.0;0.0933333333333333;0.5;0.0738461538461538;3;28;61;2;0;0;2;26;0;7;4;0;0;2;0;10;6;1;4;1;0;0;0;6;0;1;2;0;0;4;0;3;0;9;3;0;6;0;14;1;10;21;2;0;0;0;1;0;0;0;1;0;0;0;0;1;1;2;19;0;0;9;4;1;0;2;2;8;14;0;1;1;13;20;0;21;10;0;0;0;46;0;0;1;1;2;0;2;4;0;0;0;0;12;0;0;0;4;0;1;1;5;1;3;1;2;0;0;0;52
mt0000191766;Q1;mt0000191766;2.8800000000000003;2.6;1.8591318181818184;1.7162090909090908;1.718181818181818;1;1.0;0.0615384615384615;0.12;0.0307692307692307;0.0307692307692307;0.0615384615384615;14;19;36;6;1;0;1;6;1;0;1;1;0;1;0;0;0;0;0;1;6;0;0;1;1;0;0;1;0;2;1;0;0;2;10;0;2;0;0;0;0;1;2;4;6;1;0;1;1;5;9;1;1;7;0;4;0;0;14;0;3;4;9;3;3;0;10;0;15;0;0;0;1;5;0;0;0;0;1;0;1;0;6;0;6;0;6;0;6;0;4;0;0;0;0;0;0;4;1;1;1;0;0;7;0;0;0;0;2;4
mt0000192982;Q3;mt0000192982;1.8833333333333333;1.86;1.8474746153846155;1.6150353846153849;1.6907692307692304;-1;1.0;1.0;0.9;1.0;0.7;0.0;21;6;21;14;3;3;2;9;2;1;0;0;0;2;0;1;7;2;1;2;0;1;7;9;5;0;0;2;1;5;0;0;0;1;16;1;7;0;0;0;0;8;0;0;0;1;1;0;2;0;0;0;0;1;1;2;1;7;10;1;4;18;28;6;12;3;9;0;6;1;0;8;1;10;0;2;0;1;0;1;7;0;0;0;1;0;0;0;0;2;0;0;5;4;0;0;0;14;0;1;1;7;0;7;1;9;2;2;2;20
mt0000195705;Q4;mt0000195705;2.4;2.166666666666667;1.9922990384615389;1.8007576923076924;1.659615384615385;1;1.0;0.1777777777777777;0.125;0.1285714285714285;0.0666666666666666;0.125;8;29;39;10;0;0;2;0;0;0;0;0;1;4;0;0;4;0;0;2;1;0;0;0;0;0;0;0;2;5;0;4;0;0;2;0;6;0;2;10;0;9;0;2;1;4;0;0;2;0;0;8;1;3;0;12;1;0;7;4;18;65;7;2;3;2;4;13;8;4;0;0;0;20;0;1;2;0;0;0;9;0;0;0;0;0;0;1;1;0;8;0;0;8;0;0;0;7;0;0;0;0;0;8;4;0;0;0;0;14
mt0000214287;Q3;mt0000214287;2.31;1.7433333333333332;1.945282352941177;1.6940235294117651;1.6776470588235293;1;1.0;0.3333333333333333;0.05;0.2666666666666666;0.6666666666666666;0.0636363636363636;5;12;28;3;2;0;2;2;4;0;3;0;1;1;0;2;3;2;2;2;1;1;3;4;6;2;1;0;0;5;0;0;0;1;5;0;0;2;3;0;2;5;1;1;0;0;0;1;0;2;0;6;0;4;0;2;2;6;9;0;0;6;23;12;12;2;5;1;6;0;0;2;2;4;0;1;2;0;1;0;9;1;2;1;6;0;1;2;3;0;1;0;0;5;1;0;0;10;1;9;0;3;0;3;1;0;1;2;1;12
mt0000225806;Q1;mt0000225806;2.921666666666667;2.5783333333333336;1.9632955882352936;1.766726470588235;1.4764705882352946;1;1.0;0.2;0.1;0.0777777777777777;0.0;1.0;16;23;22;13;2;0;0;2;1;0;2;0;0;3;0;1;2;0;0;2;1;0;1;3;1;0;1;0;0;2;0;0;0;0;5;3;11;0;4;2;4;1;0;4;1;1;2;0;0;1;0;1;0;4;2;3;3;1;8;0;0;11;9;5;5;1;8;0;15;1;0;4;4;13;0;1;0;1;2;0;9;0;0;0;3;1;0;1;2;0;9;1;0;0;0;2;0;9;0;1;2;2;0;14;0;1;0;2;1;12
mt0000239675;Q4;mt0000239675;2.8175000000000003;2.0600000000000005;1.909;1.6400897435897437;1.6256410256410254;1;1.0;0.2;0.225;0.225;0.175;0.0;2;24;37;4;0;0;1;0;0;0;9;0;0;5;0;0;0;1;0;13;0;2;0;3;5;0;0;1;0;9;2;1;1;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;35;0;0;2;5;0;3;0;2;0;5;0;0;0;0;7;0;0;2;0;0;0;11;1;0;0;6;0;0;0;0;1;4;0;0;0;0;0;0;0;0;8;0;1;0;8;0;1;0;0;4;23
mt0000245808;Q1;mt0000245808;2.6971428571428566;2.247857142857142;2.013162013729974;1.747698627002286;1.59954233409611;1;1.0;1.0;0.6;0.6;0.6;0.1542857142857142;37;236;232;29;3;2;44;2;0;0;22;0;4;51;0;0;12;0;0;75;2;3;6;51;0;0;0;0;0;37;0;0;13;1;34;29;4;0;68;0;1;0;0;7;0;3;7;5;18;4;0;11;0;32;12;88;39;2;148;12;40;145;53;0;6;0;48;0;15;0;94;0;63;62;0;2;3;5;0;0;31;0;39;0;91;0;0;13;13;3;24;0;0;4;2;44;0;104;8;2;0;23;0;8;0;2;2;14;16;76
mt0000252574;Q1;mt0000252574;2.398823529411765;1.944117647058824;1.8820831932773108;1.7014436974789913;1.517647058823528;1;1.0;1.0;0.7;0.8;0.7;0.0615384615384615;22;49;57;15;8;1;8;8;0;1;4;0;9;4;2;1;6;2;2;12;3;1;0;8;4;1;0;0;4;11;3;1;1;1;17;5;15;1;16;10;1;3;1;16;0;2;0;0;1;1;1;11;1;7;3;20;8;3;50;9;5;34;33;4;3;7;22;0;43;0;10;14;16;61;1;0;0;1;4;1;16;2;4;0;11;0;1;0;1;1;13;0;2;1;4;4;1;26;6;0;1;3;2;23;0;0;3;7;11;54
mt0000259235;Q3;mt0000259235;2.16;1.66;1.8996632;1.6786304;1.6463999999999992;1;1.0;0.2666666666666666;0.0692307692307692;0.0470588235294117;0.225;0.0615384615384615;10;28;42;7;1;0;12;0;0;1;6;2;2;4;0;2;5;0;0;6;3;4;0;1;0;0;2;4;0;7;0;4;0;3;12;1;2;0;6;0;2;11;1;1;5;1;0;1;2;2;3;1;0;0;2;3;0;2;23;2;3;7;14;0;2;10;2;5;6;3;0;4;5;41;0;6;3;4;0;0;17;0;0;0;4;1;1;6;8;1;2;3;0;2;0;0;0;6;2;1;4;4;1;1;0;2;0;8;0;30
mt0000265621;Q4;mt0000265621;2.5500000000000003;1.93;1.935110169491525;1.7025338983050848;1.7457627118644072;1;1.0;0.15;0.0909090909090909;0.1818181818181818;0.15;0.0;0;8;18;3;3;0;3;0;0;0;2;0;4;2;0;1;5;0;2;1;0;0;0;8;2;4;0;0;1;1;0;0;0;0;4;0;1;0;0;1;0;1;0;2;1;0;0;0;0;0;0;9;0;4;0;7;0;0;25;1;0;15;17;1;0;1;6;0;2;3;0;0;1;8;1;1;0;0;1;1;4;0;0;0;3;0;0;1;1;0;2;0;0;1;0;0;0;5;0;0;0;0;0;1;2;5;0;1;2;20
mt0000268576;Q3;mt0000268576;1.9815384615384617;1.7000000000000002;1.8382981481481468;1.6418913580246914;1.7567901234567893;-1;0.2666666666666666;1.0;0.0909090909090909;0.3;0.9;0.0;17;14;33;17;3;4;11;9;0;0;5;0;2;2;0;4;3;0;1;4;2;2;0;3;3;1;2;0;0;9;0;1;2;3;7;0;7;1;5;4;3;1;0;5;2;3;3;0;0;4;0;1;1;6;2;9;0;4;22;11;6;21;39;0;6;5;17;0;4;0;0;4;3;19;0;3;3;4;2;0;19;0;0;0;1;0;1;5;6;0;2;0;4;4;4;0;1;13;0;1;0;7;0;9;0;0;2;4;3;37
mt0000268701;Q4;mt0000268701;2.7783333333333338;2.1408333333333336;1.9792105263157904;1.6863701754385965;1.7333333333333336;1;1.0;0.6;0.2666666666666666;0.1066666666666666;0.18;0.18;6;50;52;4;0;0;4;4;0;0;4;0;0;4;2;1;3;0;0;6;2;0;0;2;3;0;3;4;1;4;0;4;0;2;9;0;3;0;9;0;0;5;3;1;8;0;0;0;0;4;0;5;0;2;0;11;3;26;12;1;16;39;27;0;3;7;4;7;0;0;0;0;3;8;0;2;0;0;1;1;26;0;0;0;0;0;0;7;7;0;10;2;0;2;0;0;0;4;3;2;0;10;1;3;0;0;0;7;1;35
mt0000273374;Q4;mt0000273374;2.8571428571428568;2.628571428571429;2.023984745762712;1.808911016949153;1.5491525423728807;1;1.0;1.0;0.5;0.5;0.5;0.0615384615384615;22;68;15;8;1;9;4;1;0;0;1;0;0;4;0;0;2;1;0;3;0;0;0;3;0;0;0;0;1;4;4;0;0;0;6;1;1;1;0;0;7;3;2;0;0;3;2;0;0;1;0;3;0;3;0;3;0;0;9;2;3;38;24;1;1;5;12;0;6;2;0;4;11;24;0;0;1;0;0;0;1;1;0;0;6;0;0;0;0;1;5;0;0;3;41;2;0;6;0;0;9;7;0;3;0;0;0;13;0;22
mt0000277633;Q3;mt0000277633;2.1188888888888893;2.2844444444444445;1.856992765957446;1.6895672340425527;1.593191489361702;-1;0.2666666666666666;1.0;0.7;0.8;0.7;0.2;33;34;62;18;3;0;8;7;0;1;9;2;2;5;2;7;2;1;1;7;4;1;0;6;3;1;8;1;7;9;1;2;1;2;17;2;1;4;19;4;4;17;1;9;0;6;3;1;3;4;1;4;0;1;1;5;4;5;42;1;3;19;34;0;3;3;25;1;6;0;2;9;5;7;0;3;4;11;4;0;33;1;1;0;10;1;0;0;1;1;4;0;2;11;0;2;0;8;6;3;5;8;7;15;0;3;1;5;9;43
mt0000293345;Q3;mt0000293345;2.223333333333333;1.7833333333333332;1.94831686746988;1.6764156626506028;1.6698795180722894;-1;0.7;0.0818181818181818;0.0625;0.25;0.0625;0.15;9;8;3;8;3;1;10;2;1;1;1;0;4;7;0;2;3;0;0;5;0;0;0;4;1;0;0;0;6;6;0;6;0;0;2;0;0;0;1;0;3;6;0;0;0;1;0;0;1;0;0;0;0;6;0;9;1;9;1;0;3;16;4;0;0;0;3;1;16;0;0;0;3;6;0;0;0;1;0;0;14;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;12;0;0;0;1;0;0;0;0;0;1;2;22
mt0000310204;Q1;mt0000310204;2.8434782608695657;2.3421739130434784;2.123485714285716;1.7529008928571437;1.475;1;1.0;1.0;0.7;0.8;0.7;0.0571428571428571;8;45;8;8;2;2;5;5;1;0;7;0;1;3;0;0;0;0;1;1;1;0;1;16;0;0;0;0;1;1;1;0;0;0;10;0;0;0;5;0;2;6;1;2;0;0;0;1;1;2;0;1;2;1;0;1;0;0;5;0;2;5;3;0;0;2;5;0;15;0;2;0;3;10;2;0;2;1;0;0;4;0;0;0;2;1;1;1;3;0;12;0;2;5;18;12;0;10;1;4;0;1;0;2;0;1;1;2;0;24
mt0000315363;Q1;mt0000315363;1.8;1.91;1.9158477987421392;1.763964150943397;1.749685534591194;-1;0.3;0.4285714285714285;0.7;0.8;0.7;0.1285714285714285;6;17;39;0;4;0;11;3;0;0;2;0;3;1;0;2;7;0;1;8;2;1;15;6;1;2;1;0;2;19;1;4;3;1;4;1;0;0;5;3;2;0;1;7;0;2;2;0;0;4;0;2;2;8;0;8;1;0;8;1;6;28;21;0;0;7;14;0;12;2;0;0;1;9;2;2;5;2;3;0;20;0;0;0;0;0;0;2;2;1;1;1;0;0;0;0;1;14;3;5;1;4;0;5;1;1;0;6;3;17
mt0000316110;Q2;mt0000316110;2.216666666666667;2.1366666666666667;1.9357453333333328;1.7273599999999998;1.5386666666666668;1;1.0;1.0;0.45;0.45;1.0;0.8;14;16;18;12;3;3;5;2;0;1;3;1;0;4;0;4;2;1;1;2;0;0;2;2;1;0;0;0;0;3;1;1;0;0;1;1;8;0;2;1;2;0;3;2;0;0;2;0;7;0;0;3;0;0;0;8;2;1;12;1;1;7;5;0;1;4;10;0;23;0;0;0;1;35;0;0;1;4;1;0;14;0;1;0;5;0;1;1;2;0;4;0;3;0;1;0;0;9;0;4;0;10;0;8;0;0;0;1;0;17
mt0000318206;Q2;mt0000318206;1.8046666666666664;2.4193333333333342;1.795575789473684;1.6778705263157896;1.4757894736842094;-1;0.32;1.0;0.18;1.0;0.0307692307692307;0.27;35;13;39;15;12;9;10;11;0;0;1;4;0;10;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;6;0;6;0;4;6;0;6;0;4;2;7;4;3;7;2;6;0;2;2;6;0;5;0;1;0;4;3;1;2;0;0;8;14;0;0;2;11;1;0;0;0;8;2;24;5;6;4;0;1;0;23;0;0;1;5;1;0;1;2;0;4;0;6;5;0;0;0;1;2;3;3;6;0;7;0;1;1;1;4;30
mt0000320757;Q3;mt0000320757;1.4266666666666663;1.3108333333333333;1.8052416666666669;1.6444324074074084;1.47037037037037;1;1.0;1.0;0.2;0.15;0.18;0.045;21;17;32;12;2;12;1;0;0;0;2;0;0;4;1;0;0;0;0;4;0;1;2;3;1;0;1;0;0;4;0;1;1;1;1;0;0;2;3;4;1;0;2;2;0;0;0;2;2;8;0;12;8;5;0;10;6;1;12;0;8;22;4;0;0;1;19;1;19;0;5;2;7;7;0;2;1;1;0;0;8;0;1;0;6;0;0;0;0;0;8;0;1;3;0;0;0;18;0;1;0;11;0;2;0;3;2;1;5;21
mt0000325093;Q1;mt0000325093;2.762;2.387;1.9400374999999992;1.6453293269230755;1.5692307692307688;1;1.0;1.0;0.1428571428571428;0.1142857142857142;0.1666666666666666;0.0615384615384615;10;39;48;20;1;1;9;1;0;0;0;0;1;0;0;0;2;1;0;4;1;0;0;0;0;3;0;1;2;10;0;1;3;2;4;2;14;2;4;3;1;3;6;3;0;2;7;0;0;6;2;4;0;0;1;12;1;14;17;0;1;29;33;0;12;5;25;1;12;0;0;1;0;51;0;1;1;2;1;0;24;1;1;0;6;1;0;0;1;0;12;0;0;3;1;0;1;12;0;5;2;7;0;11;2;0;0;2;3;41
mt0000326433;Q3;mt0000326433;2.9123076923076923;2.511538461538461;1.961360126582277;1.6925784810126585;1.4848101265822786;1;1.0;0.8;0.9;0.9;0.7;0.0615384615384615;5;62;60;23;20;0;0;2;0;0;4;1;3;2;1;0;0;0;0;3;1;13;14;0;1;0;8;0;0;3;0;0;0;3;34;0;2;1;19;0;1;9;0;0;0;0;2;0;0;3;0;3;0;81;0;68;2;13;2;0;0;9;22;0;0;10;10;0;0;0;1;0;10;17;0;10;1;3;0;0;22;0;1;0;4;0;0;9;9;0;23;0;0;0;0;0;0;9;0;3;0;0;0;2;0;1;0;3;0;32
mt0000330045;Q1;mt0000330045;2.556875;1.92375;1.922131219512196;1.6475712195121943;1.7424390243902426;1;1.0;0.2;0.1;0.15;0.15;0.0615384615384615;19;50;64;20;6;0;8;0;0;2;6;2;8;5;1;3;8;1;7;18;5;3;0;7;5;3;5;8;7;3;0;1;1;0;22;0;13;0;11;5;6;16;9;7;3;1;0;0;4;18;0;3;6;0;1;10;3;13;19;2;0;24;56;1;2;10;2;0;21;6;1;0;12;38;0;5;0;0;4;1;15;1;4;0;16;0;1;7;8;0;6;0;0;3;0;0;2;27;0;0;1;9;0;4;5;0;0;0;2;51
mt0000345937;Q4;mt0000345937;2.559142857142857;2.422;1.9344302949061665;1.7474434316353882;1.5447721179624638;-1;1.0;1.0;0.7;1.0;1.0;0.072;32;101;61;29;3;1;16;14;0;0;5;0;10;10;0;0;4;2;3;16;1;7;1;4;3;2;2;4;0;7;0;2;1;3;25;5;1;2;12;2;5;13;3;15;1;2;1;4;5;3;9;4;0;7;1;38;1;4;36;2;9;58;26;5;6;12;33;5;71;1;4;6;14;58;0;4;6;5;0;0;20;2;0;0;17;0;2;2;4;1;24;0;4;2;2;0;0;43;0;7;7;18;1;16;1;1;11;9;7;69
mt0000353361;Q3;mt0000353361;2.415555555555556;1.97;1.8629701298701304;1.68513051948052;1.6337662337662335;1;1.0;1.0;0.75;0.75;0.75;0.15;7;41;45;11;5;2;6;3;0;1;3;0;1;6;0;0;6;0;1;5;4;0;3;2;3;1;0;0;0;9;0;1;1;2;14;1;2;3;15;7;0;3;4;9;0;2;5;3;1;2;1;4;0;9;2;16;2;3;17;2;8;40;29;0;2;1;20;0;11;6;4;1;5;20;0;1;1;1;3;0;11;0;2;0;10;3;0;0;3;0;6;1;2;9;1;0;2;18;4;3;0;12;0;4;1;1;1;8;8;55
mt0000361419;Q4;mt0000361419;2.595;1.805;2.001594285714286;1.6358514285714283;1.497142857142857;-1;1.0;1.0;0.9;1.0;0.7;0.0;5;11;6;2;1;0;3;2;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;2;1;0;0;0;0;3;0;3;1;4;0;0;2;0;2;0;1;0;1;1;0;0;1;0;2;0;0;2;1;1;0;0;4;6;0;0;1;3;1;8;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;6;0;1;0;5;0;16
mt0000371043;Q3;mt0000371043;2.4185714285714286;2.5457142857142863;1.8329042168674703;1.7583927710843368;1.6590361445783115;-1;0.8;1.0;0.9;1.0;0.7;0.027027027027027;17;30;42;16;3;0;4;5;0;0;4;1;10;3;1;3;2;1;2;12;4;9;0;7;1;0;1;1;0;9;2;0;0;2;19;2;2;1;9;1;4;10;1;2;0;4;0;1;3;2;0;2;1;9;2;17;1;6;22;2;12;34;11;1;1;7;16;0;6;0;1;1;5;22;1;5;2;2;1;0;14;0;2;1;5;2;1;5;8;0;3;2;1;8;1;0;0;26;1;4;3;11;1;5;0;2;4;3;9;33
mt0000380971;Q3;mt0000380971;2.6660000000000004;1.848;1.88365283018868;1.640408490566038;1.4830188679245284;1;1.0;0.2666666666666666;0.0692307692307692;0.0421052631578947;0.0888888888888888;0.0615384615384615;13;36;37;11;5;3;4;6;1;1;3;0;1;4;0;0;0;0;0;4;4;2;1;7;0;0;0;1;0;6;1;0;0;0;5;0;4;0;3;0;0;2;4;2;0;2;2;1;1;5;0;4;1;18;0;11;2;4;20;0;3;6;6;0;1;0;1;0;20;0;0;7;2;6;0;0;3;0;0;0;4;0;0;0;7;0;0;0;0;1;5;0;2;9;1;6;2;4;0;1;0;7;0;0;0;2;2;9;9;19
mt0000391566;Q4;mt0000391566;2.5733333333333337;1.7433333333333332;1.7889115384615395;1.6525314102564097;1.5641025641025634;-1;0.6;1.0;0.125;0.09;0.16;0.16;25;8;28;18;2;3;4;17;0;0;8;0;2;1;0;2;5;0;5;7;2;1;0;8;2;1;2;1;3;5;0;0;0;1;12;1;3;0;5;0;0;2;1;5;0;6;0;0;1;3;0;12;0;3;0;6;2;12;15;0;2;7;38;0;4;10;0;5;0;0;5;9;11;15;0;2;1;0;0;1;14;0;0;0;3;0;0;2;2;0;1;0;0;0;3;3;0;22;1;0;2;20;0;2;0;0;14;1;1;27
mt0000398595;Q4;mt0000398595;2.364;2.211428571428572;1.8454882352941184;1.6855932773109243;1.494117647058823;-1;1.0;1.0;0.9;1.0;1.0;0.0615384615384615;20;18;30;12;1;3;7;23;0;1;3;2;3;7;0;3;3;1;0;9;3;7;17;4;1;0;1;0;0;3;0;2;0;0;18;3;2;0;7;0;0;1;0;0;0;1;0;0;0;0;0;3;0;1;1;5;1;2;33;0;0;16;12;0;3;4;7;0;3;0;3;12;10;28;0;1;0;0;0;0;4;1;1;0;9;0;0;4;4;0;0;1;6;10;3;0;0;23;4;0;1;7;0;4;0;4;5;1;8;28
mt0000402499;Q2;mt0000402499;1.0;2.603333333333333;1.7737324503311254;1.7541390728476824;1.6543046357615885;-1;0.32;1.0;0.16;0.16;0.9;0.06;22;55;14;12;0;0;10;12;3;2;1;0;2;4;0;0;2;0;0;10;0;0;1;0;2;0;0;3;2;4;1;1;0;2;9;0;0;0;8;0;0;11;0;0;0;1;0;0;0;0;0;2;0;14;0;9;0;2;20;0;2;15;17;11;6;2;13;1;3;0;5;7;12;33;0;0;4;0;0;0;4;0;0;0;9;0;0;2;2;0;0;0;4;11;0;0;0;43;3;2;0;0;5;0;0;0;1;1;1;42
mt0000409922;Q4;mt0000409922;2.8225;2.5083333333333333;1.9978066666666667;1.7644016666666666;1.6366666666666674;1;1.0;0.2666666666666666;0.1111111111111111;0.09;0.04;0.15;4;51;14;1;1;1;4;1;1;0;0;0;1;4;0;0;0;0;1;1;0;0;1;2;0;0;0;0;0;4;0;1;1;1;2;0;0;0;0;0;1;1;0;0;0;2;3;0;1;0;0;0;0;2;0;1;0;1;7;0;0;3;6;0;0;1;4;0;12;0;0;0;0;13;0;1;1;0;0;1;3;0;0;0;4;0;0;0;0;0;21;1;0;4;0;0;0;0;0;0;0;3;0;1;0;0;0;2;3;15
mt0000412380;Q3;mt0000412380;1.6228;2.2320000000000007;1.8559857843137275;1.6992514705882342;1.6643790849673257;-1;1.0;1.0;1.0;0.45;1.0;0.2666666666666666;108;78;171;75;24;16;27;41;0;0;10;1;2;10;11;5;7;2;4;11;5;3;6;24;2;3;12;0;1;44;5;5;1;9;40;1;23;9;58;5;5;44;6;8;1;19;16;2;10;20;5;23;1;17;6;41;18;15;58;4;13;53;114;6;2;33;87;4;3;1;6;31;27;74;2;9;7;13;1;1;84;1;7;2;30;4;3;9;16;1;8;0;15;51;2;3;4;58;3;6;12;40;7;24;0;7;19;11;20;112
mt0000421504;Q4;mt0000421504;1.15;1.11;1.984998924731184;1.733086021505377;1.827956989247312;-1;0.2666666666666666;1.0;0.125;0.125;0.01875;0.125;19;29;79;17;4;4;0;13;0;1;7;0;0;2;0;7;8;0;1;4;4;6;0;7;3;0;1;1;1;3;0;0;0;6;27;0;5;0;22;8;3;9;5;6;2;5;2;0;4;17;3;9;0;6;0;3;0;13;6;2;1;11;25;4;0;14;23;0;1;0;0;0;3;9;0;2;1;6;0;0;21;0;0;0;0;0;0;8;8;0;3;2;0;8;1;0;0;10;6;0;3;12;0;2;1;0;3;6;2;19
