Music;Quadrant;Id;Semantic_Gazeteers_AvgValence;Semantic_Gazeteers_AvgArousal;Semantic_DAL_ANEW_AvgValence;Semantic_DAL_ANEW_AvgArousal;Semantic_DAL_ANEW_AvgDominance;Semantic_Synesktech_Valence;Semantic_Synesktech_HappinessWeight;Semantic_Synesktech_SadnessWeight;Semantic_Synesktech_AngerWeight;Semantic_Synesktech_FearWeight;Semantic_Synesktech_DisgustWeight;Semantic_Synesktech_SurpriseWeight;Semantic_GI_positiv;Semantic_GI_negativ;Semantic_GI_pstv;Semantic_GI_affil;Semantic_GI_ngtv;Semantic_GI_hostile;Semantic_GI_strong;Semantic_GI_power;Semantic_GI_weak;Semantic_GI_submit;Semantic_GI_active;Semantic_GI_passive;Semantic_GI_pleasur;Semantic_GI_pain;Semantic_GI_arousal;Semantic_GI_emot;Semantic_GI_virtue;Semantic_GI_vice;Semantic_GI_ovrst;Semantic_GI_undrst;Semantic_GI_academ;Semantic_GI_doctrin;Semantic_GI_econ@;Semantic_GI_exch;Semantic_GI_econ;Semantic_GI_exprsv;Semantic_GI_legal;Semantic_GI_milit;Semantic_GI_polit@;Semantic_GI_polit;Semantic_GI_relig;Semantic_GI_role;Semantic_GI_coll;Semantic_GI_work;Semantic_GI_ritual;Semantic_GI_socrel;Semantic_GI_male;Semantic_GI_female;Semantic_GI_nonadlt;Semantic_GI_hu;Semantic_GI_place;Semantic_GI_social;Semantic_GI_region;Semantic_GI_route;Semantic_GI_land;Semantic_GI_sky;Semantic_GI_object;Semantic_GI_tool;Semantic_GI_food;Semantic_GI_comnobj;Semantic_GI_natobj;Semantic_GI_bodypt;Semantic_GI_comform;Semantic_GI_com;Semantic_GI_say;Semantic_GI_need;Semantic_GI_goal;Semantic_GI_try;Semantic_GI_means;Semantic_GI_persist;Semantic_GI_complet;Semantic_GI_fail;Semantic_GI_natrpro;Semantic_GI_begin;Semantic_GI_vary;Semantic_GI_increas;Semantic_GI_finish;Semantic_GI_stay;Semantic_GI_rise;Semantic_GI_exert;Semantic_GI_fetch;Semantic_GI_travel;Semantic_GI_fall;Semantic_GI_know;Semantic_GI_causal;Semantic_GI_ought;Semantic_GI_perceiv;Semantic_GI_compare;Semantic_GI_eval;Semantic_GI_solve;Semantic_GI_abs@;Semantic_GI_abs;Semantic_GI_quality;Semantic_GI_quan;Semantic_GI_numb;Semantic_GI_card;Semantic_GI_freq;Semantic_GI_time@;Semantic_GI_time;Semantic_GI_space;Semantic_GI_pos;Semantic_GI_dim;Semantic_GI_rel;Semantic_GI_self;Semantic_GI_our;Semantic_GI_you;Semantic_GI_name;Semantic_GI_yes;Semantic_GI_no;Semantic_GI_negate;Semantic_GI_intrj;Semantic_GI_iav;Semantic_GI_dav;Semantic_GI_sv;Semantic_GI_indadj;Semantic_GI_powgain;Semantic_GI_powloss;Semantic_GI_powcon;Semantic_GI_powcoop;Semantic_GI_powaupt;Semantic_GI_powoth;Semantic_GI_powtot;Semantic_GI_rcethic;Semantic_GI_rcrelig;Semantic_GI_rcgain;Semantic_GI_rcends;Semantic_GI_rctot;Semantic_GI_rspgain;Semantic_GI_rsploss;Semantic_GI_rspoth;Semantic_GI_rsptot;Semantic_GI_affgain;Semantic_GI_affpt;Semantic_GI_affoth;Semantic_GI_afftot;Semantic_GI_wltoth;Semantic_GI_wlttot;Semantic_GI_wlbgain;Semantic_GI_wlbloss;Semantic_GI_wlbphys;Semantic_GI_wlbpsyc;Semantic_GI_wlbpt;Semantic_GI_wlbtot;Semantic_GI_enlgain;Semantic_GI_enlends;Semantic_GI_enloth;Semantic_GI_enltot;Semantic_GI_skloth;Semantic_GI_skltot;Semantic_GI_trngain;Semantic_GI_trnloss;Semantic_GI_tranlw;Semantic_GI_meanslw;Semantic_GI_endslw;Semantic_GI_arenalw;Semantic_GI_ptlw;Semantic_GI_negaff;Semantic_GI_posaff;Semantic_GI_surelw;Semantic_GI_if;Semantic_GI_notlw;Semantic_GI_timespc;Semantic_GI_formlw;Stylistic_WordsDictionary_Count;Stylistic_CapitalLetters_cfcl
L101;Q2;L101;2.085;1.77;1.8706809523809529;1.696826984126984;1.7238095238095237;-1;0.8;0.8;1.0;0.9;0.7;0.2;8;12;8;9;12;8;32;4;4;4;29;8;0;0;0;0;5;7;8;9;0;0;1;0;1;0;2;2;0;0;0;1;0;7;1;21;0;6;0;1;4;0;1;3;0;0;6;3;1;2;0;2;11;5;0;0;0;1;9;2;0;1;4;1;2;0;2;2;1;2;2;6;0;10;1;0;8;0;2;19;4;6;4;5;1;1;7;19;2;14;0;0;3;7;1;9;0;2;1;1;6;44;20;14;1;5;0;2;2;0;1;10;3;0;3;0;6;0;0;6;6;0;0;0;0;1;1;0;1;3;0;0;4;5;0;18;23;3;3;0;0;10;0;4;0;1;2;1;6;2;1;5;3;40;28
L102;Q2;L102;1.6336363636363636;2.13;1.874250420168068;1.7754369747899164;1.6907563025210068;-1;0.6;1.0;0.1142857142857142;1.0;0.2;0.2;11;24;13;21;24;33;58;16;7;0;64;8;0;1;2;1;8;8;11;12;3;0;3;0;3;0;1;4;2;5;2;4;1;4;3;42;0;0;3;5;13;7;0;1;0;5;1;1;0;0;0;0;7;5;0;4;1;8;3;0;4;2;5;5;10;0;0;0;0;3;12;8;1;2;5;4;1;0;2;2;3;5;7;19;0;0;2;10;2;26;9;9;2;14;0;25;1;5;5;20;10;77;25;1;0;1;1;14;0;1;1;21;2;4;1;0;7;0;1;2;3;1;1;0;2;2;2;2;4;0;1;0;7;1;0;7;8;0;0;7;0;2;0;0;0;0;3;1;4;2;25;16;6;83;60
L103;Q4;L103;1.6057142857142854;1.8257142857142856;1.914118965517241;1.6163905172413795;1.6775862068965508;1;0.5;0.2666666666666666;0.1333333333333333;0.1333333333333333;0.1666666666666666;0.225;20;28;20;5;28;16;18;3;14;4;36;13;0;4;5;1;16;10;25;7;0;4;13;0;8;5;6;0;4;5;0;0;5;9;1;9;0;0;0;5;4;0;0;0;1;1;2;0;0;0;2;1;18;10;1;0;0;1;3;0;6;3;3;0;5;1;0;1;0;0;2;13;0;23;1;0;0;0;9;11;0;11;15;12;0;0;12;45;10;15;0;0;1;7;1;10;0;1;0;0;5;49;14;20;0;0;0;5;0;0;6;16;2;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;4;0;8;4;16;5;0;5;10;1;1;5;0;6;2;8;1;0;0;0;4;2;0;23;14;60;33
L104;Q3;L104;2.566666666666667;2.1522222222222216;1.97429925925926;1.6781785185185192;1.6577777777777776;1;1.0;1.0;1.0;0.4;0.4;0.0615384615384615;19;10;19;25;9;15;20;12;3;2;29;22;6;2;6;10;10;0;23;20;0;0;4;0;2;1;3;0;0;4;0;5;0;1;0;16;0;1;2;5;0;0;0;0;0;0;7;0;2;5;0;1;16;12;6;0;0;2;6;3;1;1;5;0;4;0;4;0;1;1;0;5;0;7;3;0;8;0;7;13;0;2;5;19;0;0;8;23;2;24;0;0;4;6;12;19;0;1;4;18;8;49;19;7;0;0;0;2;1;0;12;15;0;0;0;0;0;0;0;0;0;8;0;6;14;2;2;0;0;4;1;4;9;7;0;7;14;0;1;0;3;4;0;1;0;1;3;3;22;5;22;15;13;66;30
L105;Q2;L105;1.6050000000000002;1.9375;1.8004810344827586;1.6124120689655164;1.7275862068965502;-1;0.8;1.0;1.0;0.0909090909090909;0.0428571428571428;0.225;11;18;11;15;18;12;30;6;8;6;54;33;0;0;4;3;4;7;8;5;0;0;3;2;2;2;2;1;2;4;0;9;0;11;0;16;12;3;0;9;9;3;3;1;2;0;3;2;0;1;0;2;3;1;1;2;1;4;6;4;3;2;21;3;9;1;6;0;1;4;3;11;0;2;1;0;1;0;2;3;1;1;1;13;3;2;0;10;0;40;1;4;7;14;0;7;1;0;0;0;0;55;21;7;0;3;3;1;2;0;10;19;2;0;0;0;2;0;0;0;0;2;8;1;11;2;4;0;0;18;0;0;18;4;0;3;7;0;0;0;7;0;3;5;0;1;1;1;4;3;0;23;1;105;38
L107;Q1;L107;2.56625;2.50375;2.026415044247788;1.727507079646017;1.927433628318584;1;1.0;1.0;0.125;1.0;0.0473684210526315;0.125;51;18;51;56;18;7;31;19;8;0;44;49;15;2;20;25;0;1;5;0;0;0;11;0;4;3;2;0;0;0;0;2;3;19;0;42;0;0;0;5;16;6;0;0;4;4;6;6;0;0;0;0;5;5;0;0;8;0;0;1;13;13;5;2;14;0;0;1;7;9;1;15;2;0;2;0;0;0;0;0;0;2;0;1;0;0;10;2;2;18;0;0;10;19;0;24;0;0;0;0;9;93;26;18;0;0;10;0;0;0;0;12;2;0;0;0;2;0;2;0;2;30;0;10;40;2;2;0;2;3;6;2;13;0;0;0;0;3;3;14;10;11;0;6;0;0;0;10;12;0;0;24;7;68;27
L108;Q4;L108;2.4966666666666666;1.6466666666666667;1.8917102409638555;1.66322048192771;1.674698795180722;1;1.0;0.2666666666666666;0.0692307692307692;0.2;0.2;0.0615384615384615;19;10;19;9;10;0;37;5;9;2;28;17;0;5;6;4;10;6;46;16;2;0;2;0;2;4;4;0;0;2;2;2;2;6;2;12;0;0;0;4;22;5;1;7;2;7;6;4;2;0;0;0;7;4;0;4;2;2;7;0;3;0;12;1;5;0;8;0;6;2;1;14;3;0;20;0;0;0;6;4;0;3;0;25;0;0;10;28;2;72;6;6;5;8;0;5;0;0;0;0;9;43;15;25;0;3;0;1;0;0;6;12;2;1;0;1;4;0;0;3;3;2;0;2;4;1;1;0;4;0;6;2;12;0;11;4;15;0;0;2;0;7;1;12;1;0;2;2;23;0;0;75;4;92;31
L109;Q3;L109;2.451;2.319;1.9994387931034483;1.6895129310344827;1.617241379310344;1;1.0;1.0;0.5;0.5;0.5;0.0;20;2;20;21;2;1;24;13;8;1;24;41;6;2;16;12;4;0;15;19;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;20;0;0;0;0;4;1;0;3;0;0;4;1;0;0;3;3;8;3;1;5;3;0;15;2;0;0;10;0;1;0;1;4;0;3;1;11;0;8;2;0;3;0;2;12;0;4;15;3;0;0;4;22;4;15;0;0;4;26;0;31;0;0;0;2;4;22;16;30;0;3;0;3;0;0;7;13;1;0;0;0;1;0;0;3;3;11;0;4;16;2;2;0;0;4;0;0;4;4;0;14;18;0;0;0;0;6;0;3;0;0;0;0;6;0;2;23;3;57;21
L110;Q3;L110;2.63;1.73;1.7896486725663725;1.7283761061946898;1.4743362831858398;-1;0.1111111111111111;0.35;0.35;0.2571428571428571;0.0;0.0217391304347826;29;3;29;5;3;15;42;14;6;1;32;11;0;0;1;0;19;0;11;3;16;0;0;0;0;0;3;0;0;0;0;0;0;15;1;16;0;0;0;0;0;0;0;0;0;0;3;0;1;2;0;0;7;5;0;6;1;0;5;0;2;2;2;6;0;0;11;12;0;0;0;1;0;7;5;0;1;0;12;8;4;4;1;7;2;1;0;14;0;7;1;0;5;0;0;31;0;3;2;20;8;44;31;8;0;1;12;0;0;0;3;16;5;0;0;0;5;0;1;1;2;0;0;0;0;0;0;1;0;0;0;0;1;1;1;31;33;1;1;4;0;28;0;5;0;0;0;0;8;0;22;25;6;55;26
L111-66;Q3;L111-66;1.7619999999999998;2.123;1.8212686440677968;1.7724898305084742;1.6491525423728808;-1;1.0;1.0;1.0;0.7857142857142857;0.375;0.0;23;19;27;8;19;16;25;13;19;2;42;38;8;5;6;12;16;6;20;14;6;0;1;0;0;5;2;0;1;0;0;4;2;5;5;17;0;0;2;6;4;1;2;1;0;0;2;1;0;1;0;1;19;15;2;3;4;5;5;1;0;1;5;1;1;2;5;2;0;0;2;6;0;5;2;1;12;1;12;14;6;7;6;20;2;2;1;10;3;12;0;0;1;15;0;2;0;7;6;24;12;59;14;22;1;2;0;0;0;1;0;3;2;0;2;1;5;0;0;3;3;0;0;1;1;1;1;0;3;2;10;2;17;9;4;17;31;2;2;0;0;1;0;1;2;0;1;11;18;4;30;17;14;53;29
L112-170;Q2;L112-170;1.4283333333333337;2.27;1.7488717105263174;1.8780210526315784;1.6815789473684193;-1;1.0;1.0;0.1285714285714285;1.0;0.05;0.1285714285714285;12;25;12;5;25;22;91;12;12;1;111;14;0;1;3;0;5;6;27;3;3;0;16;1;10;1;0;1;4;2;0;1;3;8;0;32;0;0;0;4;4;2;0;0;0;2;15;12;1;2;0;2;8;7;0;0;0;11;17;0;13;5;31;2;4;4;6;0;10;4;5;47;1;2;2;3;1;0;3;4;0;1;5;11;1;1;10;26;1;30;6;6;2;2;3;4;0;0;1;4;2;127;25;12;0;1;3;3;0;2;4;13;0;0;0;0;0;8;1;1;10;0;0;0;0;0;0;0;4;33;1;0;38;1;0;2;4;0;1;2;3;15;0;4;0;0;1;1;5;0;5;31;5;85;30
L113-90;Q4;L113-90;2.31;1.6575;1.8514218750000009;1.6084416666666663;1.7041666666666664;1;1.0;0.2;0.0;0.1333333333333333;0.1;0.0818181818181818;0;8;0;3;7;4;15;0;1;0;10;0;0;0;0;0;1;7;39;3;0;0;0;0;1;2;0;0;0;2;0;2;1;2;0;3;0;0;0;3;10;0;3;1;1;5;0;0;0;0;0;1;7;0;0;0;0;0;7;0;0;0;1;0;0;1;0;0;1;0;0;4;0;14;0;0;0;2;7;4;0;17;3;26;13;10;8;29;10;11;10;0;6;0;0;0;1;7;7;7;0;20;3;0;0;4;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;21;21;0;0;0;0;2;7;0;1;0;0;0;11;0;7;30;0;24;25
L114-116;Q1;L114-116;2.6422857142857143;2.6202857142857137;2.0623170568561915;1.738035117056849;1.8468227424749195;-1;1.0;0.32;0.32;0.27;0.216;0.0615384615384615;20;19;19;49;19;6;68;18;41;0;90;56;3;0;10;23;12;0;185;87;0;0;1;2;2;46;0;0;8;10;1;9;17;27;12;29;0;0;0;26;6;0;0;4;2;0;3;1;1;0;0;2;32;18;3;39;1;9;9;6;10;5;3;1;19;2;2;1;11;18;4;16;0;2;0;1;2;0;6;13;2;82;10;166;0;0;82;113;79;80;0;54;5;4;3;11;0;8;1;0;15;137;36;38;0;1;2;0;18;0;6;35;2;1;0;0;3;0;2;1;3;3;0;10;13;2;3;1;0;3;2;0;6;6;0;7;13;23;33;0;5;13;0;36;1;0;0;4;256;3;0;202;17;129;114
L115-161;Q3;L115-161;2.22;2.3200000000000003;1.833985714285714;1.59799365079365;1.6825396825396826;-1;1.0;1.0;0.7;1.0;0.7;0.04;13;10;13;11;10;6;11;4;9;1;14;18;3;1;4;6;2;5;9;15;0;0;0;0;2;0;0;0;0;1;0;1;0;3;0;6;0;0;0;1;1;0;0;0;1;0;2;2;0;0;0;1;4;0;0;1;0;0;5;0;0;0;8;0;1;0;1;2;0;2;3;4;0;2;0;0;0;1;1;4;0;3;7;8;0;0;4;16;3;9;0;0;6;2;0;4;0;0;0;1;2;27;7;4;0;0;0;2;0;0;8;11;0;0;0;0;0;0;0;0;0;6;0;2;8;2;2;0;2;2;1;0;5;0;0;2;2;0;0;0;2;7;0;2;0;0;1;2;6;0;1;9;0;32;18
L116-140;Q4;L116-140;2.481111111111111;1.92;2.085021739130435;1.843065217391304;1.9565217391304348;-1;0.2666666666666666;1.0;0.0372093023255814;1.0;0.1;0.0615384615384615;15;8;15;16;7;2;23;6;14;2;38;13;1;3;5;3;6;1;15;7;0;0;0;0;2;7;3;0;3;6;1;5;0;2;0;13;3;0;0;5;5;1;0;0;0;4;7;3;1;3;0;0;9;5;0;1;0;2;0;1;1;6;4;7;5;0;1;0;4;1;3;8;0;0;3;0;0;0;3;0;1;9;4;17;6;6;2;11;8;7;0;0;0;0;0;10;2;0;1;4;1;38;20;3;0;0;3;0;2;0;7;15;0;0;0;1;1;0;2;0;2;0;0;2;2;0;0;3;0;4;1;0;8;1;0;0;1;0;0;8;3;1;0;3;0;0;0;0;18;0;5;10;7;28;37
L117-104;Q4;L117-104;2.371481481481481;1.8714814814814813;1.832383908045978;1.5976218390804575;1.7471264367816104;-1;1.0;1.0;0.45;1.0;1.0;0.2666666666666666;37;33;33;21;28;16;54;22;22;13;79;34;1;6;5;6;18;8;39;22;2;0;11;2;6;9;2;0;11;11;5;16;9;16;6;23;16;56;3;25;36;9;0;2;8;8;13;10;0;0;0;3;37;18;3;2;0;7;12;4;6;2;3;4;10;3;3;3;3;7;4;27;0;7;5;0;18;1;8;10;1;7;19;49;8;7;4;32;6;99;12;17;12;2;0;0;0;0;1;5;3;122;46;11;4;2;1;5;4;1;3;20;2;9;2;1;14;1;0;17;18;3;0;4;7;6;8;3;2;13;4;1;23;7;1;21;30;2;4;1;1;15;2;4;8;2;4;2;16;10;6;101;19;176;172
L118-167;Q2;L118-167;2.2566666666666664;2.566666666666667;1.8688524390243904;1.7027329268292686;1.692682926829268;-1;1.0;0.63;1.0;0.3733333333333333;1.0;1.0;24;28;30;24;26;14;27;6;11;0;44;40;6;2;26;20;7;22;29;14;0;0;2;0;1;6;6;1;0;2;0;4;0;11;6;9;1;0;0;4;1;0;1;0;0;0;8;2;3;1;2;3;23;9;1;2;1;0;12;0;2;0;9;0;1;0;3;0;0;0;0;6;0;4;5;0;2;2;8;6;4;4;6;14;0;0;1;10;1;20;0;1;13;24;0;11;0;7;1;4;4;52;8;20;1;0;0;0;0;0;9;10;11;2;3;0;16;1;0;0;1;11;1;4;16;0;0;0;1;10;0;0;11;5;0;17;22;6;6;0;1;13;0;0;0;1;10;2;13;10;1;24;11;55;33
L121-70;Q3;L121-70;1.6085714285714283;1.487142857142857;1.7725792682926838;1.6300713414634151;1.6963414634146334;1;1.0;1.0;0.4;1.0;0.4;0.045;12;27;12;4;26;14;17;6;16;3;37;24;0;5;0;1;6;5;18;10;0;2;9;4;4;1;4;0;1;1;1;3;0;1;3;6;2;12;0;3;9;2;3;0;4;0;4;1;0;0;0;0;12;4;2;2;2;0;2;2;1;3;4;3;0;0;2;3;0;3;0;11;0;3;4;0;3;2;4;7;4;9;7;16;1;1;3;22;4;21;0;0;2;12;2;2;0;1;0;3;2;35;19;16;2;0;2;1;0;0;6;9;7;0;2;0;9;1;0;0;1;1;2;3;11;4;6;0;4;4;0;0;8;6;2;9;17;3;3;2;2;5;0;3;1;1;2;0;7;0;3;15;6;69;49
L122-148;Q4;L122-148;1.9;1.8666666666666665;1.78652;1.6457883333333336;1.8516666666666657;-1;0.2666666666666666;1.0;0.09;1.0;0.0941176470588235;0.1285714285714285;26;19;28;23;19;9;35;10;13;3;30;29;3;4;23;7;8;4;17;14;0;0;4;0;0;8;11;0;0;1;0;2;4;10;7;20;0;0;0;6;14;0;0;8;0;0;11;2;0;8;1;0;2;6;0;4;0;2;4;0;3;2;6;2;3;0;6;4;1;1;7;6;0;11;7;1;1;0;3;2;2;4;7;21;0;0;9;23;2;36;0;3;9;12;0;11;0;2;0;0;4;65;19;19;0;1;0;1;0;0;16;18;3;0;1;0;4;0;0;1;1;6;1;0;7;0;0;3;2;2;2;0;9;1;1;2;4;11;11;0;4;4;0;3;0;1;1;6;11;6;0;29;0;62;24
L123-143;Q3;L123-143;2.2700000000000005;2.0675;1.9223824267782423;1.7002962343096226;1.5297071129707094;1;1.0;0.8;0.9;0.9;0.7;0.1;63;33;63;56;33;21;60;19;21;0;87;84;15;0;36;26;12;18;54;49;0;0;8;2;11;6;5;0;4;3;0;0;3;16;3;45;0;0;0;3;6;6;0;0;0;0;11;8;0;0;1;4;5;1;3;6;5;11;14;12;2;10;8;4;2;0;2;4;2;6;6;4;0;9;12;0;5;7;9;21;5;7;11;46;12;0;13;63;2;13;6;4;8;22;4;39;0;4;0;5;11;100;35;41;0;2;4;8;0;1;16;33;1;0;3;0;4;0;3;0;3;25;0;10;35;11;11;0;1;4;0;0;5;11;0;23;34;11;14;13;5;17;0;21;0;1;3;6;26;4;4;70;5;148;43
L124-91;Q2;L124-91;1.3285714285714287;2.4842857142857144;1.7873785714285717;1.6455777777777787;1.6746031746031742;-1;0.8999999999999999;1.0;1.0;0.6;1.0;0.0486486486486486;4;13;4;6;13;12;42;15;10;8;58;17;0;2;2;1;8;3;22;7;0;0;1;0;0;0;2;0;0;2;0;1;0;5;1;27;0;0;0;1;0;0;0;0;0;0;3;2;0;0;1;2;17;8;3;3;0;8;4;0;5;1;1;4;6;0;0;0;2;4;7;9;0;4;5;2;15;2;0;16;0;0;2;23;1;1;0;5;0;26;0;2;4;19;1;22;0;0;1;0;4;88;24;9;0;1;0;2;0;0;2;5;4;0;0;0;4;2;1;1;4;1;0;0;1;1;1;0;0;2;0;1;3;5;2;12;19;0;0;0;4;6;1;1;0;2;2;0;12;3;0;18;8;63;7
L125-128;Q2;L125-128;2.1905263157894743;2.4257894736842114;1.8478240875912413;1.7963204379562052;1.6846715328467157;-1;0.2666666666666666;1.0;0.225;0.225;0.2222222222222222;0.3;35;29;35;25;23;22;61;5;4;3;38;22;1;0;31;6;9;3;18;7;0;1;4;4;2;0;8;3;5;6;2;4;3;14;2;8;4;0;0;7;1;0;1;0;0;0;0;0;0;0;0;11;2;2;0;8;11;1;6;0;0;0;12;0;0;0;1;2;0;6;0;0;4;4;1;0;5;0;0;3;1;5;8;23;1;1;5;9;4;31;0;1;6;0;4;5;0;0;1;9;2;28;18;6;0;1;3;14;0;1;7;26;8;1;0;0;9;0;0;1;1;14;2;1;19;0;0;0;1;3;0;0;4;1;0;7;8;0;0;0;4;8;0;4;0;1;4;4;10;4;6;20;2;66;65
L126-83;Q4;L126-83;2.6555555555555563;2.053333333333333;1.9349222857142847;1.6811234285714276;1.5519999999999994;-1;1.0;1.0;1.0;1.0;0.18;0.125;31;9;30;17;9;3;29;10;12;3;51;19;4;1;4;6;17;1;17;18;4;3;2;0;4;8;0;1;0;1;4;6;0;3;2;6;3;0;0;6;11;2;0;1;3;2;7;4;0;0;3;0;20;4;3;9;0;2;8;0;2;0;9;0;0;0;1;0;3;3;1;8;0;6;8;1;3;0;3;8;1;1;12;19;0;0;0;3;0;23;0;9;8;3;7;22;0;0;0;1;4;49;17;37;1;2;1;0;0;0;6;11;3;0;1;0;4;1;1;2;4;1;0;1;2;1;1;0;0;12;2;0;14;14;2;19;35;2;2;0;0;12;0;8;1;10;0;4;4;12;0;6;4;80;30
L127-122;Q1;L127-122;2.5846666666666667;2.5660000000000007;2.032821897810219;1.841776642335765;1.4408759124087596;1;1.0;0.32;0.1142857142857142;0.2571428571428571;0.1066666666666666;0.0615384615384615;65;1;53;14;1;7;25;14;7;0;62;7;25;0;0;1;30;2;47;13;0;0;1;0;0;3;6;0;2;2;0;4;4;19;10;1;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;6;1;1;6;2;14;0;0;0;33;0;0;0;13;13;1;20;0;0;4;0;0;0;24;21;8;15;0;20;2;0;21;81;7;23;1;0;8;0;2;10;0;12;0;0;6;140;8;21;0;0;0;0;1;0;1;5;13;0;6;0;19;0;0;34;34;0;0;3;3;0;0;0;0;0;1;2;3;4;0;1;5;0;0;0;0;1;0;1;1;0;0;18;47;0;0;36;1;113;52
L128-173;Q4;L128-173;2.4316666666666658;1.7275000000000005;1.9566444444444453;1.6643000000000008;1.7434343434343424;-1;1.0;0.2;0.15;0.125;0.0666666666666666;0.15;11;4;10;8;4;2;23;6;5;1;18;19;3;1;1;5;1;0;6;3;0;0;1;0;8;2;2;0;0;8;4;0;2;0;0;12;0;0;0;2;10;3;0;2;0;4;5;2;0;1;2;0;12;10;3;4;1;1;6;2;0;1;4;0;0;0;3;0;0;1;0;4;1;6;2;1;5;0;0;6;1;14;0;8;8;5;1;19;13;8;2;0;5;12;1;4;7;0;0;1;3;20;12;18;0;3;0;1;0;0;1;6;2;0;1;4;7;0;0;2;2;4;0;2;6;1;1;0;0;0;2;1;3;12;0;10;22;0;0;0;1;0;0;7;2;2;0;1;1;5;1;15;9;41;18
L130-92;Q2;L130-92;2.031538461538461;2.113076923076924;1.8614494949494955;1.6665429292929297;1.5525252525252509;-1;1.0;1.0;1.0;0.5;0.5;1.0;35;50;33;25;46;19;31;10;26;6;55;59;5;15;9;15;9;18;25;9;0;0;2;0;6;3;5;1;1;1;0;0;1;7;2;26;0;0;0;1;5;3;0;1;0;1;7;5;1;1;0;6;22;4;2;6;0;2;8;1;2;4;5;0;0;2;1;0;0;1;2;3;0;3;6;2;21;0;8;10;0;2;3;24;1;1;2;13;2;19;0;1;0;22;0;37;0;0;2;10;4;67;26;25;0;6;3;1;0;0;2;13;6;0;0;2;8;0;0;3;3;4;0;0;5;3;3;0;7;5;8;0;20;8;0;8;16;4;4;0;6;12;2;7;0;0;12;10;9;3;12;22;7;69;22
L131-67;Q3;L131-67;2.0975;2.385;2.035209900990098;1.7208168316831685;1.6217821782178217;1;1.0;1.0;0.5;0.1875;0.2;0.08;26;13;25;7;13;5;18;12;29;5;70;32;4;0;5;8;15;3;21;4;0;0;9;0;0;0;3;0;6;1;5;3;1;2;0;23;0;1;0;4;3;3;0;0;0;0;5;4;0;1;0;4;4;2;0;11;0;11;2;0;2;5;0;0;0;5;5;0;1;1;0;23;0;0;3;0;8;0;8;4;1;1;2;5;0;0;2;12;0;13;0;0;3;19;0;13;0;0;0;1;5;74;12;14;0;0;0;0;1;1;4;6;3;4;0;0;7;0;0;0;0;3;0;1;4;4;4;0;0;1;4;0;5;3;0;2;5;1;3;2;0;3;0;12;1;0;1;3;0;1;1;19;2;61;29
L132-93;Q2;L132-93;1.913333333333333;2.09;1.895395530726256;1.7287670391061452;1.4905027932960897;1;1.0;1.0;0.0909090909090909;0.0941176470588235;0.0909090909090909;0.15;38;12;37;38;11;16;61;20;8;2;60;38;0;0;22;13;9;9;27;20;0;0;2;0;1;0;2;0;2;3;2;3;0;2;0;29;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;4;12;6;6;5;1;6;9;1;3;3;4;3;4;1;1;3;0;0;8;9;0;4;12;1;5;0;3;8;1;8;2;32;6;5;8;28;6;13;1;4;15;13;0;61;0;0;4;17;8;74;19;33;0;7;2;3;0;0;1;14;4;1;2;1;8;1;0;2;3;10;0;0;10;0;0;0;0;5;0;0;5;10;4;5;19;1;1;1;0;5;0;6;0;0;0;12;6;3;21;23;7;102;46
L133-158;Q3;L133-158;2.45;1.9375;1.8316552631578933;1.7716333333333334;1.649122807017544;-1;1.0;1.0;0.5;0.5;0.5;0.0615384615384615;28;13;30;24;13;1;27;4;8;2;21;26;6;3;4;9;11;13;31;11;0;0;0;0;0;1;1;0;1;2;0;1;1;5;1;8;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;13;2;3;2;0;0;7;4;0;0;0;2;1;0;7;0;1;1;2;2;0;1;9;0;2;1;5;3;1;5;5;21;2;0;7;20;4;24;1;3;6;13;0;29;0;4;0;0;5;20;12;17;1;0;0;0;0;0;2;3;1;0;2;0;3;0;0;0;0;8;0;6;16;0;0;0;5;1;3;0;9;5;0;6;11;2;2;0;0;6;0;5;0;0;2;4;18;4;0;30;4;47;16
L134-75;Q3;L134-75;2.7010526315789485;2.484736842105263;2.01732879581152;1.762174345549737;1.7026178010471196;1;1.0;1.0;0.2;0.2571428571428571;0.1428571428571428;0.225;70;14;70;60;15;14;59;9;13;4;89;62;19;0;1;18;8;2;41;15;1;0;3;0;2;28;6;0;3;3;2;12;1;13;9;49;13;15;1;13;3;1;0;1;1;0;7;6;0;1;0;1;17;5;1;0;4;7;7;4;5;2;11;0;2;1;9;0;0;2;5;27;4;7;6;2;6;5;0;7;6;10;8;23;4;1;11;27;3;12;6;3;2;32;0;4;0;5;1;3;8;83;37;28;1;3;2;2;0;0;8;16;8;0;2;2;12;0;1;2;3;33;9;25;67;3;3;4;1;2;7;1;15;3;0;11;14;7;9;1;2;5;0;10;0;0;1;0;14;4;3;43;6;68;48
